Node_A,Node_B,
SM5023   ,SM4998   ,
SM5023   ,SM5277   ,
SM5277   ,SM5247   ,
SM5277   ,SM5543   ,
SM5543   ,SM5504   ,
SM5504   ,SM5247   ,
SM4998   ,SM5247   ,
SM4998   ,SM4753   ,
SM4244   ,SM4753   ,
SM4244   ,SM4491   ,
SM4491   ,SM4753   ,
SM4244   ,SM3966   ,
SM3966   ,SM3980   ,
SM3966   ,SM3663   ,
SM3663   ,SM3980   ,
SM3663   ,SM3400   ,
SM3400   ,SM3190   ,
SM3400   ,SM3394   ,
SM3394   ,SM3186   ,
SM3186   ,SM3190   ,
SM3186   ,SM2993   ,
SM2993   ,SM3190   ,
SM2993   ,SM2827   ,
SM122    ,SM112    ,
SM122    ,SM117    ,
SM122    ,SM137    ,
SM137    ,SM127    ,
SM137    ,SM151    ,
SM2526   ,SM2444   ,
SM2444   ,SM2364   ,
SM2444   ,SM2366   ,
SM2366   ,SM2364   ,
SM2366   ,SM2282   ,
SM2282   ,SM2277   ,
SM2282   ,SM2200   ,
SM2444   ,SM2528   ,
SM2132   ,SM2200   ,
SM2132   ,SM2130   ,
SM2132   ,SM2083   ,
SM2031   ,SM2083   ,
SM2031   ,SM2030   ,
SM2031   ,SM1982   ,
SM1982   ,SM1977   ,
SM1977   ,SM2030   ,
SM1977   ,SM1930   ,
SM1930   ,SM1887   ,
SM1888   ,SM1887   ,
SM237    ,SM234    ,
SM237    ,SM236    ,
SM237    ,SM240    ,
SM240    ,SM239    ,
SM240    ,SM243    ,
SM243    ,SM242    ,
SM243    ,SM246    ,
SM1750   ,SM1712   ,
SM1712   ,SM1677   ,
SM1712   ,SM1679   ,
SM1679   ,SM1677   ,
SM1679   ,SM1652   ,
SM1652   ,SM1650   ,
SM1652   ,SM1629   ,
SM1652   ,SM1400   ,
SM1712   ,SM1753   ,
SM1400   ,SM1607   ,
SM1400   ,SM1434   ,
SM1400   ,SM1417   ,
SM1400   ,SM1399   ,
SM1400   ,SM1381   ,
SM1400   ,SM1364   ,
SM1195   ,SM1364   ,
SM1265   ,SM1364   ,
SM1265   ,SM1277   ,
SM1265   ,SM1262   ,
SM1265   ,SM1251   ,
SM1265   ,SM1237   ,
SM1237   ,SM1251   ,
SM1237   ,SM1234   ,
SM1237   ,SM1220   ,
SM1208   ,SM1220   ,
SM1208   ,SM1206   ,
SM1206   ,SM1218   ,
SM1206   ,SM1193   ,
SM1193   ,SM1179   ,
SM1193   ,SM1181   ,
SM1181   ,SM1179   ,
SM1179   ,SM1167   ,
SM1167   ,SM1153   ,
SM1167   ,SM1154   ,
SM1154   ,SM1153   ,
SM1154   ,SM1139   ,
SM1139   ,SM1138   ,
SM1139   ,SM1124   ,
SM1139   ,SM1098   ,
SM1154   ,SM1181   ,
SM1167   ,SM1181   ,
SM1098   ,SM1124   ,
SM1098   ,SM1096   ,
SM1098   ,SM1083   ,
SM1064   ,SM1083   ,
SM1064   ,SM1063   ,
SM1064   ,SM1053   ,
SM1039   ,SM1053   ,
SM1039   ,SM1037   ,
SM1039   ,SM1028   ,
SM996    ,SM1028   ,
SM996    ,SM995    ,
SM996    ,SM971    ,
SM996    ,SM953    ,
SM918    ,SM937    ,
SM918    ,SM917    ,
SM918    ,SM901    ,
SM901    ,SM899    ,
SM899    ,SM917    ,
SM899    ,SM890    ,
SM547    ,SM538    ,
SM538    ,SM532    ,
SM532    ,SM526    ,
SM526    ,SM519    ,
SM519    ,SM512    ,
SM512    ,SM497    ,
SM497    ,SM483    ,
SM483    ,SM470    ,
SM470    ,SM460    ,
SM460    ,SM450    ,
SM450    ,SM439    ,
SM439    ,SM429    ,
SM429    ,SM421    ,
SM421    ,SM415    ,
SM415    ,SM408    ,
SM1153   ,SM1138   ,
SM1138   ,SM1122   ,
SM1124   ,SM1122   ,
SM1122   ,SM1096   ,
SM1096   ,SM1080   ,
SM1096   ,SM1083   ,
SM1083   ,SM1080   ,
SM1080   ,SM1063   ,
SM1063   ,SM1051   ,
SM1063   ,SM1053   ,
SM1053   ,SM1051   ,
SM1051   ,SM1037   ,
SM1037   ,SM1027   ,
SM1037   ,SM1028   ,
SM1028   ,SM1027   ,
SM1027   ,SM995    ,
SM995    ,SM969    ,
